property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,נוה שרת,אחי דקר  33,2.5,2,40,0,,12,0,170,4,קרובה לנווה עתידים של ההי טאק.מתאימה לזוג עם תינוק או יחיד. פונה לגינה.,0,0,0,1,0,1,0,0,0,1,4500,4,10.91
דירה,נוה שרת,"אח""י דקר 4",4,1,89,0,0,12,480,500,23,"ללא תיווך. השכרה לשנה. דירה בת 6.5 שנים מאז האכלוס עם השקעות רבות, נוחות, תאורה מיוחדת ומצב מצויין. לא הושכרה מעולם, 4 חדרים יפים, יחידת הורים, מרפסת, ממד, חנייה אחת מול השער- מושלמת!! מחסן, 3 מעליות בבניין. ניתן לעלות ברגל, מעל קומת עמודים כפולה בגובה.. מזגן מרכזי אינוורטר שקט וחסכוני, עם שליטה וכיבוי אפשרי בכל חדר, מאווררי תקרה בכל חדר, אפשרות לריהוט חלקי",1,1,1,1,1,0,1,1,0,0,8000,8,10.69
דירה,נוה שרת,"אח""י דקר 4",4,6,102,0,,12,465,490,24,"דירה במצב חדש בבניין בן 5 שנים. 4 חדרים + חדר שירות+ מרפסת. חדר הורים עם מקלחת ושירותים נפרדים. הדירה מוארת לאורך כל שעות היום.
בבניין מעלית משא (כולל מעלית שבת), פיר אשפה. בדירה ממד, מיזוג מיני מרכזי, חלונות גדולים, תריסים חשמליים.
מתאים למשפחות/שותפים. 

באיזור מרכז מסחרי במרחק 2 דקות הליכה, פארק, סופרים קרובים, גני ילדים ובי""ס, תחבורה ציבורית נוחה ועוד.

ללא עלות דמי תיווך. תאריך כניסה גמיש",1,0,1,1,1,0,1,1,0,1,8700,10,10.69
דירה,נוה שרת,,4,12,117,0,,12,0,,20,בנוה שרת דירת 4 חדרים +12 מטר מרפסת בבניין חדיש קומה גבוהה דירה מטופחת ויפה כוללת מחסן ענק  וחניה תת קרקעית לפרטים נוספים ולתיאומים ניתן לפנות אל עופר מכנען,1,1,1,1,1,0,1,1,0,1,8500,4,
דירה,נוה שרת,קהילת קליבלנד 3,3,4,50,0,,12,200,20,4,"דירה מוארת בשכונת נווה שרת, ממוזגת ונעימה",0,1,0,1,0,0,0,1,0,0,4600,0,11.07
דירה,נוה שרת,רמה 5,5,9,120,0,0,12,500,120,14,"רחוב: בת אל 

שכונת: נווה שרת 

דירה של  5  חדרים,כ - 120 מטר עם נוף פתוח לכל השכונה.

יציאה למרפסת שמש של 12 מטר

סלון עם מטבח פתוח.

אמבטיה ושרותים צמודים.

יח' הורים כפולה,עם מקלחת ושרותים.

איוכתית ומקסימה.

חניה תת ק""ק,ומעלית,מחסן

כניסה מידית.",1,0,1,1,0,0,1,1,0,1,9800,7,11.01
דירה,נוה שרת,כורזים 3,2,3,50,0,0,10,350,60,4,חדר סטודיו גדול ומיטבחון כשר וחדר קטן יותר עם מיטבח מאובזר מלא.חדש ויפה מאוד.דירה מוארת עורפית לגינה יפה.ריהוט חלקי,0,0,0,1,0,0,0,0,1,1,4600,0,11.09
דירה,נוה שרת,בת אל   4,1,2,35,0,0,12,200,150,3,"שכונת: נוה שרת 

יח' דיור של  חדר כ - 35  מטר מסודרת מוארת מקסימה ואיוכתית.

קומה קק.

המחיר כולל הכל חוץ מחשמל. 

מרווחת מרוהטת מלא 

מיקום מעולה ברחוב.

כניסה: 1.7.2022",0,0,0,1,0,1,0,0,0,0,3600,4,2.33
דירה,נוה שרת,אבא אחי מאיר 7,3,4,70,0,0,12,500,250,4,"רחוב: אבא אחימאיר
שכונה: רמת אביב ג' 
דירה של  3  חדרים,כ - 70 מטר מסודרת מוארת מקסימה.פונה לעורף פתוח.
מטבח נטו עם פינת אוכל.
חדרי שינה עם מזגנים.
3  כוון אויר.
נוף פתוח. 
חניה פרטית,ומעלית.
כניסה מידית .",1,0,1,1,0,0,0,0,0,1,7400,7,8.07
דירה,קרית שלום,נס הרים 8,3,2,72,0,,12,0,,8,"דירה מדהימה  באזור שקט, חדשה מקבלן עם מעליות בבניין,כולל חנייה תת קרקעית ,מרפסת מרווחת(12 מטר) .בדירה יש ממ""ד, לרציניים בלבד.
פרטי -ללא תיווך",1,0,1,1,0,0,1,1,0,0,7100,7,4.89
